MSA,Wells,Records,Start Year,End Year,Years Span,Mean (ft),Median (ft),Std Dev (ft),Min (ft),Max (ft),P10 (ft),P90 (ft),IQR (ft),Trend (ft/yr),RÂ²,Trend p-value,Recent Change (ft)
New York,6375,3025035,1970,2025,55,37.55,25.72,39.24,-65.16,720.0,4.75,90.37,36.46,0.3454,0.562,0.0,14.01
Miami,1718,1408186,1970,2025,55,6.92,6.15,4.12,-49.37,59.4,2.64,12.02,4.95,-0.0344,0.496,0.0,-0.71
Washington,8184,1342912,1970,2025,55,71.49,38.17,80.67,-30.7,450.0,8.07,213.05,80.48,1.0997,0.708,0.0,39.4
Houston,2283,651355,1970,2025,55,211.01,207.52,121.12,-82.3,1440.0,27.53,370.0,180.5,0.068,0.004,0.6617,-1.57
Boston,2273,583494,1970,2025,55,12.53,8.78,10.53,-15.0,345.0,3.49,30.0,10.18,-0.003,0.001,0.8588,-1.35
Philadelphia,11177,496196,1970,2025,55,35.4,22.7,36.43,-55.0,406.0,6.24,77.2,34.27,-0.2324,0.521,0.0,-7.05
San Francisco,1073,320785,1970,2025,55,44.78,33.24,38.75,-6.01,368.7,7.95,93.3,44.9,-1.025,0.593,0.0,-19.65
Chicago,956,91506,1970,2025,55,59.34,18.55,94.22,-3.39,945.0,2.24,102.16,88.02,-2.2557,0.734,0.0,-44.42
Dallas,140,76458,1970,2025,55,363.37,456.41,220.9,0.39,1125.25,8.39,513.84,409.04,-10.6402,0.718,0.0,-300.14
